locode,name,lat,lon
AUMEL,Melbourne,-37.8167,144.9667
AUMHW,Mount Hawthorn,-31.9167,115.8333
AUMIB,Milner Bay,49.05,4.0
AUMID,Midland,31.8833,-115.9833
AUMKY,Mackay,-21.15,149.2
AUMLI,Melville Island,-11.55,130.9333
AUMLL,Mooloolaba,-26.6833,153.1333
AUMOK,Moorook,-34.2833,140.35
AUMON,Montara Field,-13.0833,124.0833
AUMOW,Mowbray Heights,-41.3833,147.1333
AUMQI,Macquarie Island,-54.4833,158.9333
AUMRK,Macquarie Park,-33.7667,151.1167
AUMRS,Melrose,60.1667,5.4667
AUMWA,Mulwala,-36.0,146.0
AUNB2,North Bridge,-33.8,151.2167
AUNEQ,Nericon,-34.2,146.0333
AUNGH,Nganhurra,-21.4833,114.0
AUNHU,Nhulunbuy,-12.1833,136.7833
AUNIV,Ningaloo Vision,-21.4,114.0833
AUNLK,New Norfolk,-42.7833,147.0667
AUNSB,Broke,-32.75,151.1
AUNTL,Newcastle,54.2167,-5.9
AUOKF,Oak Flats,-34.55,150.8167
AUONS,Onslow,-21.65,115.1
AUOSB,Osborne Island,51.0333,5.8167
AUP6D,Aspendale,-38.0333,145.1
AUPAE,Port Adelaide,-34.9167,138.5833
AUPAG,Paddington,-33.8833,151.2167
AUPAL,Palmerston,-12.4667,130.8333
AUPAU,Port Arthur,29.8833,-93.9167
AUPBN,Port of Brisbane,-27.3833,153.1667
AUPBT,Port Botany,42.2667,8.75
AUPBY,Port Bonython,59.4667,17.3833
AUPDI,Port Denison,-29.2667,114.9333
AUPEN,Pendle Hills,-33.8,150.95
AUPER,Perth,-31.95,115.85
AUPEX,Exmouth,50.5833,-3.4
AUPHP,Point Henry Pier/Melbourne,-38.1167,144.4333
AUPHR,Prahran,-37.85,145.0
AUPHU,Port Huon,42.9667,-82.4167
AUPIC,Picton,-34.1833,150.6
AUPIS,Phillip Island,-38.4833,145.2333
AUPJK,Port Jackson,51.5,5.5
AUPKY,Port Kenny,-33.1667,134.6833
AUPMK,Palm Island,40.4167,-75.5333
AUPOR,Port Melbourne,-37.8333,144.9333
AUPRB,Proper Bay,49.05,4.0
